Variable	House	Question																																							
ABORT1	BSA	Please say whether or not you think the law should allow an abortion in each case. The woman decides on her own she does not wish to have the child.																																							
ABORT2	BSA	Please say whether or not you think the law should allow an abortion in each case. The couple agree they do not wish to have the child.																																							
ABORT2FR	BES	"I want to ask about some changes that have been happening in Britain over the years. For each one I read out can you say whether you think it has gone too far , not gone far enough , or is it about right? The availability of abortion in the National Health Service?"																																							
ABORT2FR	GALLUP	"Now we would like your views on some of the general changes that have been taking place in Britain over the last few years. Now using one of the answers on this card, how do you feel about: The availability of abortion on the National Health Service?"																																							
ABORT3	BSA	Please say whether or not you think the law should allow an abortion in each case. The woman is not married and does not wish to marry the man.																																							
ABORT4	BSA	Please say whether or not you think the law should allow an abortion in each case. The couple cannot afford any more children.																																							
ABORT5	BSA	Please say whether or not you think the law should allow an abortion in each case. There is a strong chance of a defect in the baby.																																							
ABORT6	BSA	Please say whether or not you think the law should allow an abortion in each case. The woman's health is seriously endangered by the pregnancy.																																							
ABORT7	BSA	Please say whether or not you think the law should allow an abortion in each case. The woman became pregnant as a result of rape.																																							
ABORT8	NOP	Agree/disagree with statement: Abortion should be made legally available for all the people who want it.																																							
ABORT9	GALLUP	Do you think abortion operations should or should not be legal in cases where: The health of the mother is in danger?																																							
ABORT10	GALLUP	Do you think abortion operations should or should not be legal in cases where: The child may be born deformed?																																							
ABORT11	GALLUP	Do you think abortion operations should or should not be legal in cases where: The family does not have enough money to support another child?																																							
ABORT12	WWS	Do you approve or disapprove of abortion under the following circumstances? When a married couple does not want to have any more children.																																							
ABORT13	WWS	Do you approve or disapprove of abortion under the following circumstances? When the woman is not married.																																							
ABORTNHS	GALLUP	Do you think abortions should or should not be provided on the National Health Service?																																							
AIDPOOR	BES	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving more aid to poorer countries in Africa and Asia country. "																																							
AIDPOOR	GALLUP	"I am going to read out a list of things that some people believe a Government should do. For each one you can say whether you feel it is very important that it should be done, fairly important that it should be done, fairly important that it should not be done, very important that it should not be done, or it doesn't matter either way. Giving more aid to poorer countries in Africa and Asia country. "																																							
AIDSMONY	BSA	Please tick one box for each statement to show how much you agree or disagree with it. The National Health Service should spend more resources on giving better care to people dying from AIDS. 																																							
ASYLUM	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. Most asylum seekers who come to Britain should be sent home immediately.																																							
BANPARTY	BSA	Please tick one box for each statement below to show how much you agree or disagree with it Political parties which wish to overthrow democracy should be allowed to stand in general elections.																																							
BASINC	BSA	Please show how much you agree or disagree with each statement. The government should provide everyone with a guaranteed basic income.																																							
BIGBUSNN	BSA	Please tick one box for each statement below to show how much you agree or disagree with it. Big business benefits owners at the expense of workers.																																							
BIGBUSTH	BES	Please tick one box on each line to show how much you agree or disagree with each of these statements. Big international companies are a threat to democratic government in Britain.																																							
BLAME	NOP	"Who do you think is most to blame for Britain’s economic problems, the Government, the trade unions, or the employers?"																																							
BPRIOR1	BSA	"Looking at the list below, please tick a box next to the one thing you think should be Britain's highest priority, the most important thing it should do. Britain should 1) Maintain order in the nation 2) Give people more say in government decisions 3) Fight rising prices 4) Protect freedom of speech."																																							
BPRIOR1	BES	"If you had to choose from among the items on this card, which are the two that seem most desirable to you? 1) Maintaining order in the nation 2) Giving people more say in important political decisions 3) Fighting rising prices 4) Protecting freedom of speech."																																							
BPRIOR2	WVS	"If you had to choose, which one of the things on this card would you say is most important? And which would be the next most important? 1) Maintaining order in the nation 2) Give people more say 3) Fighting rising prices 4) Protecting freedom of speech."																																							
BUSPOWER	BES	Do you think that big business in this country have too much power or not?																																							
CAPPUN1	BSA	Are you in favour of or against the death penalty for: Murder in the course of a terrorist act?																																							
CAPPUN2	BSA	Are you in favour of or against the death penalty for: Murder of a policeman?																																							
CAPPUN3	BSA	Are you in favour of or against the death penalty for: Other murders?																																							
