Codes for topics	
100	Government intervention versus free-market
110	Trade unions and industrial relations
120	Welfare state and social benefits
130	Public vs private ownership
140	Public services spending
150	Tax and spending
160	"Poverty, inequality and redistribution"
180	Inflation and unemployment
200	Crime and law and order
210	Moral and social attitudes
250	Post-materialist values
300	Abortion
400	Race relations and immigration
500	Environment
600	International affairs
610	Defence spending
620	Nuclear weapons
650	Northern Ireland
700	Europe
800	Monarchy
810	Constitutional reform (House of Lords)
900	Left-right self-placement
910	Left-right derived scale (BSA)
920	Liberal-authoritarian derived scale (BSA)
9999	Unclassifiable
