variable	year	topic	leftp	n
ABORT1	1983	300	40.4155496	1610
ABORT1	1985	300	51.35888502	1501
ABORT1	1986	300	45.29977794	1389
ABORT1	1987	300	55.3630363	1244
ABORT1	1989	300	51.64744646	1274
ABORT1	1990	300	57.76014109	1164
ABORT1	1994	300	56.66666667	1000
ABORT1	1995	300	62.81661601	1036
ABORT1	1998	300	56.74091442	889
ABORT1	2004	300	62.51572327	888
ABORT1	2005	300	64.69957082	600
ABORT10	1966	300	84.52380952	600
ABORT10	1967	300	85.39325843	600
ABORT10	1997	300	79.56989247	600
ABORT11	1966	300	43.42105263	600
ABORT11	1967	300	43.37349398	600
ABORT11	1997	300	48.38709677	600
ABORT12	1981	300	35.00455789	600
ABORT12	1990	300	40.55944056	600
ABORT12	1999	300	47.48387097	600
ABORT13	1981	300	32.29643184	600
ABORT13	1990	300	34.92516037	600
ABORT13	1999	300	50.80213904	600
ABORT2	1983	300	50.75136612	1610
ABORT2	1985	300	57.94655415	1503
ABORT2	1986	300	58.4396099	1387
ABORT2	1987	300	60.7826811	1243
ABORT2	1989	300	62.63463132	1274
ABORT2	1990	300	63.82042254	1163
ABORT2	1994	300	66.25	1000
ABORT2	1995	300	65.30194473	1036
ABORT2	1998	300	63.20754717	888
ABORT2	2004	300	71.64366374	889
ABORT2FR	1974	300	25.20525452	2361
ABORT2FR	1978	300	28.26086957	600
ABORT2FR	1979	300	20.72916667	1893
ABORT2FR	1981	300	30.95238095	600
ABORT2FR	1987	300	31.81818182	600
ABORT2FR	1987	300	23.54609929	3826
ABORT2FR	1990	300	37.83783784	600
ABORT2FR	1992	300	37.99822852	3534
ABORT2FR	1997	300	22.70072993	3615
ABORT3	1983	300	48.80382775	1610
ABORT3	1985	300	56.88329839	1502
ABORT3	1986	300	52.92353823	1388
ABORT3	1987	300	58.36120401	1243
ABORT3	1989	300	60.14913007	1273
ABORT3	1990	300	57.59717314	1162
ABORT3	1994	300	56.18448637	1000
ABORT3	1995	300	58.2226762	1035
ABORT3	1998	300	53.60094451	889
ABORT3	2004	300	59.37904269	888
ABORT4	1983	300	51.54004107	1610
ABORT4	1985	300	60.90909091	1501
ABORT4	1986	300	52.82167043	1388
ABORT4	1987	300	59.83263598	1243
ABORT4	1989	300	59.71877585	1275
ABORT4	1990	300	63.78854626	1163
ABORT4	1994	300	63.91213389	1001
ABORT4	1995	300	62.52566735	1036
ABORT4	1998	300	59.10165485	888
ABORT4	2004	300	60.88082902	888
ABORT4	2005	300	55.85980285	600
ABORT5	1983	300	88.43308675	1609
ABORT5	1985	300	90.07633588	1501
ABORT5	1986	300	88.16964286	1387
ABORT5	1987	300	91.34377576	1243
ABORT5	1989	300	90.19448947	1273
ABORT5	1990	300	89.68531469	1163
ABORT5	1994	300	87.68115942	1000
ABORT5	1995	300	86.76171079	1036
ABORT5	1998	300	87.35362998	888
ABORT5	1998	300	87.40831296	888
