variable	year	topic	leftp	n	qcdr
CONTROL2	1953	100	43.1372549	600	40
CONTROL2	1953	100	43.1372549	600	40
CONTROLS	1948	100	72.5	600	41
CONTROLS	1949	100	70.58823529	600	41
CONTROLS	1949	100	74.28571429	600	41
CONTROLS	1949	100	67.74193548	600	41
CONTROLS	1951	100	67.56756757	600	41
ECOHELP2	1983	100	72.11940299	1718	72
ECOHELP2	1984	100	68.8172043	1645	72
ECOHELP2	1985	100	66.66666667	1769	72
ECOHELP2	1986	100	63.0952381	3066	72
ECOHELP2	1987	100	60.62902615	2765	72
ECOHELP2	1989	100	56.91284564	2930	72
ECOHELP2	1990	100	57.44115414	2697	72
ECOHELP2	1991	100	61.88760807	1423	72
ECOHELP4	1983	100	75.30487805	1719	74
ECOHELP4	1984	100	71.70668397	1645	74
ECOHELP4	1985	100	72.91666667	1770	74
ECOHELP4	1986	100	72.78839349	3067	74
ECOHELP4	1987	100	74.76265823	2765	74
ECOHELP5	1983	100	67.54926108	1719	75
ECOHELP5	1984	100	64.82939633	1645	75
ECOHELP5	1985	100	66.19890177	1769	75
ECOHELP5	1986	100	66.15983027	3066	75
ECOHELP5	1987	100	65.7905217	2765	75
ECOHELP5	1989	100	57.16925351	2930	75
ECOHELP5	1990	100	60.15841584	2698	75
ECOHELP5	1991	100	62.55673222	1422	75
ECOHELP6	1983	100	18.70838881	1720	76
ECOHELP6	1984	100	14.58773784	1646	76
ECOHELP6	1985	100	12.83244681	1769	76
ECOHELP6	1986	100	14.11306043	3065	76
ECOHELP6	1987	100	12.53309797	2766	76
ECOHELP8	1983	100	64	1720	77
ECOHELP8	1984	100	63.67713004	1646	77
ECOHELP8	1985	100	63.97366846	1769	77
ECOHELP8	1986	100	68.05266805	3066	77
ECOHELP8	1987	100	65.9344894	2766	77
ECOHELP8	1989	100	71.42339732	2930	77
ECOHELP8	1990	100	74.61988304	2698	77
ECOHELP8	1991	100	73.24981577	1422	77
ECOHELP9	1983	100	91.31469363	1719	78
ECOHELP9	1984	100	91.38576779	1646	78
ECOHELP9	1985	100	92.6462073	1769	78
ECOHELP9	1986	100	92.816572	3066	78
ECOHELP9	1987	100	92.05762837	2766	78
ECOHELP9	1989	100	88.67201115	2929	78
ECOHELP9	1990	100	85.4206319	2698	78
ECOHELP9	1991	100	86.89956332	1423	78
ECOHELPA	1989	100	87.77777778	2931	79
ECOHELPA	1990	100	92.18328841	2698	79
ECOHELPA	1991	100	92.62472885	1422	79
ECOHELPB	1989	100	82.17821782	2930	80
ECOHELPB	1990	100	84.75422427	2688	80
ECOHELPB	1991	100	83.69565217	1423	80
ECOHELPC	1989	100	70.39685377	2930	81
ECOHELPC	1990	100	74.96159754	2697	81
ECOHELPC	1991	100	70.25222552	1422	81
GOVECON4	1985	100	95.07714916	1502	99
GOVECON4	1990	100	93.50393701	1164	99
GOVECON4	1996	100	96.84947491	993	99
GOVECON5	1985	100	17.27748691	1504	100
GOVECON5	1990	100	24.65331279	1162	100
GOVECON5	1996	100	25.28089888	992	100
GOVECON6	1985	100	97.94721408	1502	101
GOVECON6	1990	100	98.27751196	1163	101
GOVECON6	1996	100	98.61431871	993	101
GOVECON7	1985	100	63.03972366	1502	102
GOVECON7	1990	100	74.35064935	1162	102
GOVECON7	1996	100	82.32931727	993	102
GOVECON8	1985	100	64.47368421	1502	103
GOVECON8	1990	100	58.01713586	1164	103
GOVECON8	1996	100	55.43806647	993	103
GOVHELP4	1986	100	39.1575663	1315	107
GOVHELP4	1987	100	39.52879581	1182	107
GOVHELP4	1989	100	41.55844156	1273	107
GOVINVEST	1990	100	37.68115942	600	108
GOVINVEST	1991	100	65.11627907	600	108
GOVINVEST	1992	100	47.14285714	600	108
GOVINVEST	1993	100	42.85714286	600	108
GOVINVEST	1996	100	44.44444444	600	108
GOVJOB	1994	100	49.26470588	2958	109
GOVJOB	1996	100	72.72727273	600	109
GOVJOB	1996	100	69.41176471	600	109
GOVJOB	1996	100	61.62538027	3103	109
GOVJOB	1997	100	63.94052045	1088	109
GOVJOBS	1983	100	80	3955	110
GOVJOBS	1987	100	88.39413962	3826	110
GOVJOBS	1992	100	92.25308642	3534	110
GOVJOBS2	1993	100	55.81531955	600	111
GOVJOBS2	1995	100	60.49763033	600	111
GOVJOBS2	1997	100	58.57545666	600	111
GOVJOBS2	2000	100	58.44827586	600	111
GOVJOBS2	2004	100	51.44261056	600	111
GOVRESP1	1985	100	72.03389831	1501	113
GOVRESP1	1986	100	67.49174917	1316	113
GOVRESP1	1989	100	72.32597623	1254	113
GOVRESP1	1990	100	63.46328196	1163	113
GOVRESP1	1991	100	65.80125336	1222	113
GOVRESP1	1992	100	66.51769088	3304	113
GOVRESP1	1996	100	68.86993603	993	113
GOVRESP1	1997	100	74.34449375	3093	113
GOVRESP1	1998	100	72.94751009	814	113
GOVRESP1	2000	100	80.99787686	2014	113
GOVRESP1	2002	100	78.21948488	1928	113
GOVRESP2	1985	100	93.02325581	1501	114
GOVRESP2	1986	100	91.37529138	1315	114
GOVRESP2	1990	100	89.2635315	1163	114
GOVRESP2	1996	100	85.0996852	993	114
GOVRESP2	2000	100	97.29315628	2015	114
GOVRESP2	2002	100	95.69012548	1929	114
GOVRESP3	1985	100	99.05469278	1502	115
GOVRESP3	1986	100	98.84792627	1317	115
GOVRESP3	1990	100	99.12587413	1163	115
GOVRESP3	1996	100	98.46311475	994	115
GOVRESP3	2000	100	99.69712267	2015	115
GOVRESP3	2002	100	99.19311458	1927	115
GOVRESP4	1985	100	98.43962008	1502	116
GOVRESP4	1986	100	98.77300613	1315	116
GOVRESP4	1990	100	98.77835951	1163	116
GOVRESP4	1996	100	97.32234809	994	116
GOVRESP4	2000	100	98.73225152	2014	116
GOVRESP4	2001	100	96.88195991	921	116
GOVRESP4	2002	100	98.60589812	1927	116
GOVRESP5	1985	100	95.49237171	1501	117
GOVRESP5	1986	100	90.90189873	1316	117
GOVRESP5	1990	100	93.85574354	1164	117
GOVRESP5	1996	100	92.66737513	994	117
GOVRESP6	1985	100	85.42253521	1502	118
GOVRESP6	1986	100	86.2667719	1315	118
GOVRESP6	1989	100	86.30600169	1254	118
GOVRESP6	1990	100	80.56057866	1163	118
GOVRESP6	1996	100	77.7537797	993	118
GOVRESP8	1990	100	92.68077601	1163	120
GOVRESP8	1996	100	89.9577167	992	120
GOVRESP9	1990	100	92.97777778	1164	121
GOVRESP9	1996	100	88.98395722	993	121
INDRESP	1990	100	43.97424103	1482	165
INDRESP	1999	100	27.11864407	999	165
JOBFRALL	1987	100	71.7921527	1181	170
JOBFRALL	1991	100	68.08252427	1035	170
NEWTECH	1985	100	90.62209842	1501	199
NEWTECH	1987	100	90.94874591	1244	199
NEWTECH	1990	100	94.01555955	2348	199
SAVFRRET	1991	100	17.08860759	1414	272
SAVFRRET	2000	100	16.77588467	3426	272
SAVFRRET	2004	100	11.48788927	3200	272
SAVFRRET	2005	100	10.04415011	600	272
SOCPLAN	1990	100	51.51515152	600	277
SOCPLAN	1991	100	53.52112676	600	277
SOCPLAN	1992	100	50	600	277
SOCPLAN	1993	100	62.16216216	600	277
SOCPLAN	1994	100	59.375	600	277
SOCPLAN	1996	100	58.10810811	600	277
BIGBUSNN	1986	110	73.93117831	1314	21
BIGBUSNN	1987	110	69.74647887	2425	21
BIGBUSNN	1989	110	71.04843002	2529	21
BIGBUSNN	1990	110	69.78989211	2349	21
BIGBUSNN	1991	110	72.77108434	1220	21
BIGBUSNN	1993	110	76.23036649	1328	21
BIGBUSNN	1994	110	81.47638698	2957	21
BIGBUSNN	1995	110	80.14857615	3146	21
BIGBUSNN	1996	110	80.31844317	3103	21
BIGBUSNN	1998	110	78.69890616	2546	21
BIGBUSNN	1999	110	75.41834968	2478	21
BIGBUSNN	2000	110	75.88750576	2991	21
BIGBUSNN	2001	110	76.06275304	2821	21
BIGBUSNN	2002	110	78.80794702	2930	21
BIGBUSNN	2003	110	78.1708694	3634	21
BIGBUSNN	2004	110	71.91464821	2611	21
BIGBUSNN	2005	110	74.09551375	600	21
BIGBUSTH	2001	110	60.30473136	2191	22
BIGBUSTH	2005	110	62.29130685	3226	22
BLAME	1966	110	23.91304348	600	23
BLAME	1972	110	16.66666667	600	23
BLAME	1973	110	19.64285714	600	23
BLAME	1973	110	25.92592593	600	23
BLAME	1974	110	8.695652174	600	23
BLAME	1975	110	17.85714286	600	23
BLAME	1977	110	19.64285714	600	23
BLAME	1979	110	10.29411765	600	23
BUSPOWER	1964	110	68.92561983	605	26
BUSPOWER	1966	110	68.56240126	633	26
BUSPOWER	1970	110	54.81012658	1842	26
BUSPOWER	1974	110	61.62037037	2365	26
BUSPOWER	1979	110	60.13071895	1858	26
BUSPOWER	1983	110	68.37384259	3955	26
BUSPOWER	1992	110	74.176	3125	26
BUSPOWER	1997	110	79.00120337	3324	26
BUSPOWER	2001	110	78.26625387	2191	26
BUSPOWER	2005	110	73.58803624	2326	26
CLASSSTR	1961	110	71.79487179	600	35
CLASSSTR	1964	110	55.17241379	600	35
CLASSSTR	1972	110	66.66666667	600	35
CLASSSTR	1973	110	67.41573034	600	35
CLASSSTR	1973	110	66.27906977	600	35
CLASSSTR	1974	110	65.16853933	600	35
CLASSSTR	1974	110	69.66292135	600	35
CLASSSTR	1974	110	67.41573034	600	35
CLASSSTR	1975	110	67.41573034	600	35
CLASSSTR	1981	110	72.52747253	600	35
CLASSSTR	1984	110	78.72340426	600	35
CLASSSTR	1986	110	74.46808511	600	35
CLASSSTR	1991	110	83.15789474	600	35
CLASSSTR	1993	110	81.91489362	600	35
CLASSSTR	1994	110	82.9787234	600	35
CLASSSTR	1995	110	87.09677419	600	35
CLASSSTR	1996	110	83.51648352	600	35
INDUST5	1985	110	62.5346901	1501	167
INDUST5	1986	110	60.20725389	1314	167
NOTRUDS2	1992	110	67.34059098	3304	202
NOTRUDS2	1994	110	69.93630573	971	202
NOTRUDS2	1997	110	70.02141328	3093	202
NOTRUDS2	1998	110	74.50657895	843	202
NOTRUDS2	2001	110	82.89017341	2191	202
NOTRUNS	1994	110	78.72527473	2958	203
NOTRUNS	1996	110	78.82352941	600	203
NOTRUNS	1996	110	78.31325301	600	203
NOTRUNS	1996	110	79.18088737	3104	203
NOTRUNS	1997	110	77.24935733	1088	203
NOTRUNS	2001	110	82.89017341	2191	203
NOTRUNS	2005	110	82.78502931	2326	203
PAYDISP	1958	110	56.4516129	600	213
PAYDISP	1959	110	52.17391304	600	213
PAYDISP	1960	110	53.62318841	600	213
PICKET	1972	110	25.80645161	600	216
PICKET	1974	110	30.76923077	600	216
POWERIND	1989	110	73.07692308	600	220
POWERIND	1991	110	82.35294118	600	220
POWERIND	1992	110	88.67924528	600	220
POWERIND	1993	110	91.66666667	600	220
POWERIND	1994	110	88.33333333	600	220
POWERIND	1995	110	90	600	220
POWERIND	1995	110	91.80327869	600	220
